Section;Valeur
Total véhicules Paris;0
Temps perdu total (min);0
Tronçons saturés;25
Taux disponibilité capteurs (%);100.0
Total vélos Paris;4699.0
;
=== TOP 10 TRONÇONS FRÉQUENTÉS ===;
Tronçon;Débit Total
PE_Pont_Amont;441656.0
PE_Guyane;429845.0
PI_Passy_Muette;422018.0
PE_Courteline;417865.0
PE_Muette_Passy;396554.0
PI_Pont_Amont;390741.0
PE_Charles_Hermite;388550.0
PE_Ivry;385519.0
PE_Doree;376762.0
PE_Muette;375010.0
;
=== TOP 10 ZONES CONGESTIONNÉES ===;
Zone;Temps Perdu (min)
Unknown;21880.515012897125
Unknown;21662.373864192676
Unknown;20521.28892546104
Unknown;20046.597262393014
Unknown;19540.9527624577
Unknown;19091.089270048687
Unknown;18397.428052547024
Unknown;16873.59390175577
Unknown;16358.940928017033
Unknown;16126.62191687448
;
=== CAPTEURS DÉFAILLANTS ===;
ID Capteur;Type
100003098-101003098;bike
300030116-353354957;bike
;
=== ALERTES CONGESTION ===;
Tronçon;Taux Occupation (%)
Reaumur;99.99112
Chapelle;82.16701499999999
Lyon;85.71427800000001
Chapelle;83.68044599999999
Chapelle;80.88796333333333
Av_Pte_Asnieres;81.175446
Chapelle;82.39203833333333
Lyon;90.967114
Pyrenees;85.8505575
Chapelle;89.435004
Belleville;83.56627
Chapelle;80.97999999999999
Av_Pte_Asnieres;80.99639
Pyrenees;85.92611
Chapelle;84.88555500000001
Belleville;80.07833500000001
Belleville;83.71416500000001
Quai_Grands_Augustins;82.35167
Chapelle;81.71333
Bd_Arago;92.01759333333332
;
=== CHANTIERS ACTIFS ===;
Identifiant;Typologie
CP002664;2
CP002669;1
CP002792;1
CP002871;1
CP002911;2
CP002933;1
CP002644;3
CP002824;1
CP002904;3
CP002628;1
CP002881;1
CP002889;3
CP002894;2
CP002927;2
CP002910;1
CP002371;2
CP002666;3
CP002836;1
CP002848;1
CP002883;3
